Player,Squad,Age,MP,Gls,Ast,PK,PKatt,CrdY,CrdR,Glsp90,Astp90,GnPKp90,xG,npxG,xA,xGp90,xAp90,npxGp90,CmpPct,TotDist,PrgDist,SCmpPct,MCmpPct,LCmpPct,KP,DrbSuccPct,Tkl,TklW,Blocks,Int,Clr,Err,Pos,Sh,SoT,SoTp90
Laurent Depoitre,Huddersfield,28,33,6,1,0,0,1,0,0.3,0.05,0.3,4,4,0.4,0.2,0.02,0.2,58.3,3767,608,42.9,60.6,56.6,11,52.2,11,8,31,11,33,0,FW,24,11,0.54
Mike van der Hoorn,Swansea City,24,24,1,0,0,0,4,0,0.05,0,0.05,0.9,0.9,0.3,0.04,0.01,0.04,75.7,15147,5790,42.1,84.8,65.1,3,70,34,18,44,40,100,2,DF,10,4,0.19
Gerard Deulofeu,Watford,23,7,1,0,0,0,0,0,0.21,0,0.21,0.6,0.6,0.6,0.13,0.13,0.13,70.1,1968,529,28.6,74.8,71,10,59.1,7,5,2,6,1,0,"FW,MF",9,4,0.83
Fousseni Diabaté,Leicester City,21,14,0,1,0,0,1,0,0,0.15,0,0.4,0.4,0.3,0.06,0.05,0.06,74.6,2532,676,16.7,82,58.3,6,41.7,6,4,10,8,4,0,"MF,FW",6,2,0.31
Mohamed Diamé,Newcastle Utd,30,31,2,0,0,0,3,0,0.09,0,0.09,1.5,1.5,0.5,0.07,0.02,0.07,81.7,12341,3136,32.6,86.9,77,12,53.8,89,63,52,52,32,0,MF,22,7,0.31
Brahim Díaz,Manchester City,17,5,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.93,0,0.93,92.9,343,67,,92.6,100,0,33.3,1,0,2,2,0,0,"FW,MF",3,1,1.64
Eric Dier,Tottenham,23,34,0,2,0,0,4,0,0,0.06,0,1.8,1.8,2,0.06,0.06,0.06,84.8,40123,11732,41.4,89.6,78.7,17,65,56,35,59,47,71,3,"MF,DF",32,6,0.19
Virgil van Dijk,Southampton,25,12,0,0,0,0,0,0,0,0,0,1.1,1.1,0,0.1,0,0.1,84.7,12127,3610,28.6,89.4,78.8,2,100,13,7,26,31,74,0,DF,11,0,0
Virgil van Dijk,Liverpool,25,14,0,0,0,0,1,0,0,0,0,1.3,1.3,0.6,0.09,0.04,0.09,89.1,22417,6512,35.7,93.4,84.1,2,50,11,8,11,17,82,0,DF,17,6,0.43
Abdoulaye Doucouré,Watford,24,37,7,3,0,0,10,0,0.19,0.08,0.19,3.1,3.1,2.2,0.08,0.06,0.08,82.7,34974,8178,33.8,86.6,77.2,39,60,65,41,61,59,41,2,MF,49,18,0.49
Aleksandar Dragović,Leicester City,26,11,0,0,0,0,2,0,0,0,0,0.2,0.2,0,0.02,0,0.02,82.2,6852,2218,75,81.8,82.9,0,66.7,10,4,24,13,36,0,DF,2,0,0
Danny Drinkwater,Chelsea,27,12,1,0,0,0,0,0,0.17,0,0.17,0.1,0.1,0.1,0.02,0.01,0.02,87,5886,1164,25,91.3,80,3,66.7,14,9,11,8,7,0,MF,6,2,0.34
Martin Dúbravka,Newcastle Utd,28,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,5017,3345,,100,36.5,0,,0,0,0,0,1,0,GK,0,0,0
Shane Duffy,Brighton,25,37,0,1,0,0,8,0,0,0.03,0,2.1,2.1,1,0.06,0.03,0.06,75.7,26206,7777,18.2,84.2,69,6,87.5,38,21,79,51,248,7,DF,31,4,0.11
Paul Dummett,Newcastle Utd,25,20,0,0,0,0,1,0,0,0,0,0.2,0.2,0.4,0.01,0.02,0.01,68.2,9705,5033,13.3,82.8,44.3,6,,23,10,51,28,86,0,DF,4,1,0.06
Lewis Dunk,Brighton,25,38,1,1,0,0,7,0,0.03,0.03,0.03,2.8,2.8,0.3,0.07,0.01,0.07,76.9,28996,9236,50,86.6,66.1,8,80,58,37,90,72,201,4,DF,25,8,0.21
Nathan Dyer,Swansea City,29,24,0,0,0,0,2,0,0,0,0,0.9,0.9,0.7,0.06,0.05,0.06,76.3,5741,1128,41.7,83,50.9,10,56.4,21,15,18,16,2,0,"MF,FW",10,2,0.14
Ederson,Manchester City,23,36,0,0,0,0,1,0,0,0,0,0,0,0.1,0,0,0,88.2,20862,11505,100,99,73.8,1,100,0,0,0,1,0,1,GK,0,0,0
Tom Edwards,Stoke City,18,6,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.05,0,68.6,2559,1175,14.3,86.1,36.5,1,100,16,12,6,9,12,1,DF,1,0,0
Rob Elliot,Newcastle Utd,31,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.8,10714,8187,,98.4,48.9,0,,0,0,0,1,2,0,GK,0,0,0
Mohamed Elneny,Arsenal,24,13,0,1,0,0,3,1,0,0.1,0,0.3,0.3,0.7,0.03,0.08,0.03,92.4,13677,3103,65,94.1,89,10,75,12,6,15,11,11,0,MF,8,1,0.1
Christian Eriksen,Tottenham,25,37,10,10,0,0,0,0,0.28,0.28,0.28,6.7,6.7,12.6,0.19,0.35,0.19,76.4,35943,9443,32.3,85.2,61.8,104,43.3,37,24,52,32,10,0,"MF,FW",96,40,1.12
Jonny Evans,West Brom,29,28,2,2,0,0,7,0,0.08,0.08,0.08,2.3,2.3,0.3,0.09,0.01,0.09,79.3,16646,6045,40,86.5,68.4,6,66.7,25,18,34,52,121,1,DF,11,3,0.12
Patrice Evra,West Ham,36,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.4,1148,593,30.8,85.9,38.1,0,100,5,3,5,7,6,1,DF,0,0,0
Łukasz Fabiański,Swansea City,32,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,23779,16782,0,98.4,49,0,,0,0,0,1,2,0,GK,0,0,0
Cesc Fàbregas,Chelsea,30,32,2,4,0,0,5,2,0.08,0.16,0.08,2.3,2.3,7,0.09,0.27,0.09,79.4,36187,13309,41.2,87.8,65.9,89,72.2,57,39,31,21,18,1,MF,37,11,0.43
Marouane Fellaini,Manchester Utd,29,16,4,0,0,0,1,0,0.53,0,0.53,2.8,2.8,0.1,0.41,0.02,0.41,84.6,5139,1310,64.7,87.1,76.8,4,66.7,11,6,16,14,18,0,MF,9,6,0.79
Kiko Femenía,Watford,26,23,1,1,0,0,2,0,0.05,0.05,0.05,0.4,0.4,1.9,0.02,0.1,0.02,79.3,12250,4539,41.3,87,55.2,16,53.6,30,17,27,36,23,0,"DF,MF",9,3,0.16
Leroy Fer,Swansea City,27,20,1,1,0,0,5,0,0.06,0.06,0.06,1.6,1.6,1.2,0.11,0.08,0.11,80,9842,1984,55.6,84.4,72.5,10,86.4,36,28,23,14,16,1,MF,12,3,0.19
Edimilson Fernandes,West Ham,21,14,0,1,0,0,1,0,0,0.11,0,0.3,0.3,0.5,0.03,0.05,0.03,77.2,3758,942,44.4,81.9,70.9,8,84.6,14,7,17,18,3,1,"MF,FW",6,1,0.11
Federico Fernández,Swansea City,28,30,1,1,0,0,5,0,0.03,0.03,0.03,0.7,0.7,0.7,0.02,0.02,0.02,81.4,22883,8762,41.7,88,75,5,25,33,21,50,48,179,3,DF,7,1,0.03
Fernandinho,Manchester City,32,34,5,3,0,0,7,0,0.16,0.09,0.16,2.8,2.8,2.3,0.09,0.07,0.09,88.8,48101,13185,54.3,92.5,80.3,23,66.7,57,37,57,48,40,0,MF,49,20,0.62
Sam Field,West Brom,19,10,1,0,0,0,3,0,0.17,0,0.17,0.4,0.4,0.2,0.06,0.03,0.06,67.2,2182,695,42.9,73.8,53.3,4,66.7,14,8,10,9,5,0,MF,4,1,0.17
Roberto Firmino,Liverpool,25,37,15,7,1,1,1,0,0.49,0.23,0.46,11.5,10.7,5.7,0.37,0.18,0.35,71.6,12703,3366,43,76,65.5,53,65.3,57,44,48,16,8,0,FW,81,35,1.14
Darren Fletcher,Stoke City,33,27,1,1,0,0,0,0,0.04,0.04,0.04,0.3,0.3,1.1,0.01,0.04,0.01,76.4,17884,5248,50,84.3,66.1,23,69.2,45,22,25,27,24,1,MF,11,2,0.08
Phil Foden,Manchester City,17,5,0,1,0,0,0,0,0,1.84,0,0,0,0.4,0,0.74,0,85.4,559,57,,90.2,57.1,2,100,1,1,0,1,1,0,MF,0,0,0
José Fonte,West Ham,33,8,0,1,0,0,0,0,0,0.13,0,0.8,0.8,0.1,0.1,0.01,0.1,79.8,6190,2340,0,87.9,69.6,3,100,8,4,16,14,21,1,DF,8,1,0.13
Fraser Forster,Southampton,29,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.8,8235,6164,0,100,36.2,0,,0,0,0,0,2,1,GK,0,0,0
Ben Foster,West Brom,34,37,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,48.5,21095,17659,100,95.2,42.1,1,100,0,0,0,2,1,0,GK,0,0,0
Timothy Fosu-Mensah,Crystal Palace,19,21,0,0,0,0,2,0,0,0,0,0.3,0.3,0.5,0.02,0.03,0.02,71.5,9987,4331,35.3,83,49.8,6,40,38,24,32,33,54,1,DF,8,0,0
Simon Francis,Bournemouth,32,32,0,1,0,0,9,2,0,0.03,0,0.5,0.5,2,0.02,0.07,0.02,71.6,27326,11672,22.4,82.7,56.8,25,55,47,29,57,48,159,0,DF,13,1,0.03
Ryan Fraser,Bournemouth,23,26,5,3,0,0,0,0,0.22,0.13,0.22,1.9,1.9,3.6,0.09,0.16,0.09,69,12253,4738,31.1,78.5,49.2,45,26.3,12,2,30,16,22,0,"MF,DF",31,13,0.58
Christian Fuchs,Leicester City,31,25,0,1,0,0,1,0,0,0.05,0,0.4,0.4,0.7,0.02,0.03,0.02,68.2,15598,7058,31,82.5,47.6,12,66.7,42,24,52,53,56,2,DF,11,0,0
Jay Fulton,Swansea City,23,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,72,0,,100,100,0,,0,0,1,0,1,0,MF,0,0,0
Ramiro Funes Mori,Everton,26,4,0,0,0,0,1,0,0,0,0,0.1,0.1,0,0.07,0,0.07,75.4,852,351,50,89.5,46.7,0,,1,0,1,3,11,0,"DF,MF",1,0,0
Manolo Gabbiadini,Southampton,25,28,5,0,1,1,2,0,0.42,0,0.33,2.5,1.7,1,0.21,0.08,0.14,70.9,1906,164,37,80,53.8,6,55.6,8,4,7,4,4,0,"FW,MF",22,10,0.83
Jesús Gámez,Newcastle Utd,32,2,0,0,0,0,0,0,0,0,0,0,0,0.1,0.03,0.11,0.03,75.4,740,462,40,87.5,56.3,4,100,3,2,2,2,4,0,DF,1,0,0
Idrissa Gana Gueye,Everton,27,33,2,1,0,0,7,2,0.07,0.03,0.07,1.4,1.4,1.1,0.05,0.03,0.05,83.4,23285,6125,45.8,87.8,73.6,15,56.3,114,76,74,65,25,1,MF,23,7,0.23
Dwight Gayle,Newcastle Utd,26,35,6,3,0,0,3,0,0.28,0.14,0.28,8.8,8.8,2.3,0.41,0.1,0.41,73.4,4445,882,51.6,76.4,65.3,20,64.3,11,7,20,6,13,0,FW,56,22,1.01
Paulo Gazzaniga,Tottenham,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.7,404,180,,100,61.5,0,,0,0,0,0,0,0,GK,0,0,0
David de Gea,Manchester Utd,26,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.2,19372,14435,66.7,100,48.3,1,100,0,0,0,0,0,0,GK,0,0,0
Kieran Gibbs,West Brom,27,33,0,1,0,0,3,0,0,0.03,0,0.3,0.3,1.6,0.01,0.05,0.01,72.6,16906,7091,51,81.7,48.6,23,52.9,38,25,55,48,66,2,DF,9,1,0.03
Olivier Giroud,Arsenal,30,16,4,1,0,0,0,0,0.93,0.23,0.93,2.9,2.9,0.9,0.7,0.22,0.7,70.9,1070,140,68.4,71.8,66.7,8,100,5,3,2,1,3,0,FW,19,6,1.39
Olivier Giroud,Chelsea,30,13,3,1,0,0,0,0,0.44,0.15,0.44,4.1,4.1,1.3,0.6,0.19,0.6,65.1,1830,382,53.6,67.6,60,12,40,4,3,1,1,5,0,FW,29,10,1.47
Connor Goldson,Brighton,24,3,0,0,0,0,1,0,0,0,0,0.1,0.1,0,0.07,0,0.07,72.7,1528,562,50,80,63.9,0,,3,3,5,2,6,0,DF,2,1,0.45
Heurelho Gomes,Watford,36,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.2,13969,10467,,99.1,47.5,0,,0,0,1,2,1,1,GK,0,0,0
Joe Gomez,Liverpool,20,23,0,2,0,0,3,0,0,0.09,0,0.2,0.2,1.3,0.01,0.06,0.01,81.4,24381,9086,34.6,88.4,66.3,15,65.2,52,24,27,35,44,1,DF,5,0,0
Dan Gosling,Bournemouth,27,28,2,1,0,0,8,0,0.09,0.05,0.09,2.5,2.5,0.8,0.11,0.04,0.11,78,14790,4110,47.6,83.2,69.5,15,82.4,45,28,52,27,33,0,MF,22,8,0.37
Lee Grant,Stoke City,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.4,1975,1421,,100,55.2,0,,0,0,0,0,0,0,GK,0,0,0
Andre Gray,Watford,26,31,5,2,0,0,1,0,0.3,0.12,0.3,5.9,5.9,1.6,0.36,0.1,0.36,70.6,3242,460,43.3,73.2,76.3,14,35.3,0,0,15,4,2,0,FW,35,13,0.78
Demarai Gray,Leicester City,21,35,3,1,0,0,2,0,0.16,0.05,0.16,2.3,2.3,3.4,0.12,0.18,0.12,70.7,8147,1670,39.6,82.2,51.1,27,61.1,16,14,39,12,7,0,"MF,FW",36,9,0.48
Pascal Groß,Brighton,26,38,7,8,1,1,2,0,0.22,0.25,0.18,3.1,2.4,6.1,0.1,0.18,0.07,68.4,18187,5713,41.5,80.3,49.3,75,72.7,37,27,36,15,16,0,"MF,FW",43,19,0.58
Marko Grujić,Liverpool,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,81.3,253,71,,83.3,75,1,,2,2,0,0,0,0,MF,0,0,0
İlkay Gündoğan,Manchester City,26,30,4,1,1,1,3,0,0.24,0.06,0.18,3.8,3,1.9,0.22,0.11,0.18,91.2,20352,4676,52.4,94.2,83.4,20,59.3,23,17,20,15,8,0,MF,34,10,0.59
Florent Hadergjonaj,Huddersfield,22,23,0,1,0,0,3,0,0,0.05,0,0.4,0.4,1.6,0.02,0.09,0.02,64.7,10965,5169,39.3,77.6,43.6,25,57.1,17,9,37,18,29,1,"DF,MF",8,3,0.16
Massadio Haïdara,Newcastle Utd,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,22,0,,100,,0,,0,0,0,0,0,0,"FW,MF",0,0,0
Ben Hamer,Leicester City,29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.2,1555,1109,,95.5,50,0,,0,0,0,0,0,0,GK,0,0,0
Rekeem Harper,West Brom,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,80,102,37,,66.7,100,2,,0,0,1,0,0,0,MF,0,0,0
Joe Hart,West Ham,30,19,0,1,0,0,0,0,0,0.05,0,0,0,0.7,0,0.04,0,49.9,12005,9524,0,98,44.5,1,100,0,0,1,0,1,0,GK,0,0,0
Isaac Hayden,Newcastle Utd,22,26,1,0,0,0,7,0,0.07,0,0.07,0.9,0.9,0.9,0.06,0.06,0.06,74.2,6512,1685,27.8,80.2,65.2,12,50,41,24,27,22,33,0,MF,14,9,0.59
Eden Hazard,Chelsea,26,34,12,4,2,2,2,0,0.45,0.15,0.37,8,6.4,7.4,0.29,0.28,0.24,82.2,20933,5679,45.6,84.3,84.8,83,72.7,7,4,10,4,1,0,"FW,MF",67,33,1.23
Tom Heaton,Burnley,31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.5,2322,1756,,100,48.1,0,,0,0,0,0,0,0,GK,0,0,0
Michael Hefele,Huddersfield,26,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,88.9,126,31,,87.5,100,0,,0,0,0,2,5,0,DF,0,0,0
Ahmed Hegazi,West Brom,26,38,2,0,0,0,4,0,0.05,0,0.05,1.3,1.3,0.4,0.04,0.01,0.04,71.2,20809,9132,32.6,80.7,63.8,6,70,59,37,83,63,240,6,DF,16,4,0.11
Tomer Hemed,Brighton,30,16,2,2,0,0,0,0,0.21,0.21,0.21,2.1,2.1,0.2,0.22,0.03,0.22,64.5,2114,421,33.3,70.8,44.8,4,25,5,5,10,2,9,0,FW,17,7,0.74
Jordan Henderson,Liverpool,27,27,1,1,0,0,1,0,0.04,0.04,0.04,1.2,1.1,1.9,0.05,0.08,0.04,83.8,37141,8731,41.5,90.2,75.2,23,60,41,29,44,32,25,0,MF,15,3,0.12
Jeff Hendrick,Burnley,25,34,2,2,0,0,1,0,0.08,0.08,0.08,2.9,2.9,1.6,0.11,0.06,0.11,77.6,10585,1839,43.4,85,64.3,23,51.2,12,6,20,12,17,0,"MF,FW",27,8,0.31
Wayne Hennessey,Crystal Palace,30,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50.5,16185,13313,100,98.9,42.7,0,,0,0,0,3,0,2,GK,0,0,0
Javier Hernández,West Ham,29,28,8,0,0,0,3,0,0.47,0,0.47,5.2,5.2,1.9,0.31,0.11,0.31,73.1,4603,717,41.9,78.8,65.8,20,46.9,8,4,8,7,1,0,FW,31,16,0.93
Ander Herrera,Manchester Utd,27,26,0,2,0,0,5,0,0,0.14,0,0.5,0.5,1.2,0.04,0.09,0.04,87,15443,4324,78,92.4,71,10,66.7,44,29,42,39,10,0,MF,12,1,0.07
Son Heung-min,Tottenham,24,37,12,6,0,0,0,0,0.47,0.23,0.47,10.2,10.2,4.9,0.4,0.19,0.4,80.1,11178,2356,49.2,85.2,61.3,34,59.1,21,13,23,12,4,0,"FW,MF",72,34,1.32
Wesley Hoedt,Southampton,23,28,0,1,0,0,7,0,0,0.04,0,1.3,1.3,1,0.05,0.04,0.05,76.7,25735,10327,22.2,84.8,68.1,10,89.7,68,40,51,42,135,0,DF,15,2,0.07
Jonathan Hogg,Huddersfield,28,30,0,0,0,0,9,2,0,0,0,0.7,0.7,0.6,0.02,0.02,0.02,84.1,22223,5183,46.7,88.5,76.8,9,50,80,52,59,68,37,0,MF,11,2,0.08
Rob Holding,Arsenal,21,12,0,0,0,0,3,0,0,0,0,0.1,0.1,0,0.01,0,0.01,83.8,10637,3345,45.5,87.3,79.1,2,80,14,10,24,22,34,0,DF,1,0,0
José Holebas,Watford,33,28,0,4,0,0,7,0,0,0.15,0,0.5,0.5,3.9,0.02,0.15,0.02,58.3,17142,8801,23,77.1,38,39,55.8,45,26,40,36,53,2,"DF,MF",17,3,0.11
Mason Holgate,Everton,20,15,0,0,0,0,3,0,0,0,0,0.6,0.6,0.6,0.05,0.04,0.05,67.2,8356,3625,25,79.3,54.1,8,87.5,22,11,28,24,70,1,DF,6,1,0.08
Callum Hudson-Odoi,Chelsea,16,2,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.22,0,0.22,81.3,274,68,100,81.8,75,0,100,0,0,0,0,0,0,FW,2,1,3.1
Will Hughes,Watford,22,15,2,3,0,0,0,0,0.18,0.27,0.18,0.9,0.9,1.5,0.08,0.14,0.08,76.1,4680,1258,67.7,83.2,48.6,18,66.7,28,14,21,15,3,0,"MF,FW",12,4,0.36
Jordan Hugill,West Ham,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,36,0,,37.5,,0,,0,0,0,0,0,0,FW,0,0,0
Uwe Hünemeier,Brighton,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,48,0,,0,33.3,0,,3,0,0,0,3,0,DF,0,0,0
Emerson Hyndman,Bournemouth,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,88.5,361,85,100,94.7,66.7,1,,0,0,3,2,0,0,MF,0,0,0
Pierre Højbjerg,Southampton,21,23,0,0,0,0,6,0,0,0,0,0.7,0.7,0.7,0.04,0.04,0.04,82.9,17379,3611,54.2,87.8,73.7,12,63,46,33,33,39,22,0,MF,16,6,0.32
Jordon Ibe,Bournemouth,21,32,2,6,0,0,1,0,0.09,0.27,0.09,2.8,2.8,3.8,0.13,0.17,0.13,73.4,9361,2751,31.3,82.2,59.4,34,48.9,12,8,10,10,3,0,"MF,FW",56,16,0.72
Vicente Iborra,Leicester City,29,19,3,0,0,0,0,0,0.19,0,0.19,1.6,1.6,0.2,0.1,0.01,0.1,80.6,13116,3312,46.2,84.2,75.5,6,70,26,17,32,20,42,0,MF,14,4,0.26
Zlatan Ibrahimović,Manchester Utd,35,5,0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.26,0.13,0.26,71.8,919,236,33.3,76.2,58.3,2,100,2,1,1,0,1,0,"MF,FW",4,1,0.85
Kelechi Iheanacho,Leicester City,20,21,3,3,0,0,2,0,0.33,0.33,0.33,3.2,3.2,1.9,0.36,0.21,0.36,76.6,2878,710,61.5,81.1,63,11,50,7,5,11,4,0,0,"FW,MF",31,11,1.19
Tom Ince,Huddersfield,25,33,2,0,0,0,0,0,0.07,0,0.07,6.9,6.9,1.1,0.25,0.04,0.25,75.7,9336,1760,26.1,87.1,54.2,18,58.8,37,25,20,14,10,0,"MF,FW",71,20,0.73
Danny Ings,Liverpool,24,8,1,0,0,0,0,0,0.34,0,0.34,1.7,1.7,0.2,0.58,0.07,0.58,64.6,887,144,11.1,71.7,70.6,3,50,4,1,7,3,0,0,FW,8,5,1.69
Stephen Ireland,Stoke City,30,4,0,0,0,0,1,0,0,0,0,0.4,0.4,0,0.27,0.03,0.27,81.4,895,206,33.3,94.3,42.9,1,,2,0,4,1,0,0,MF,3,0,0
Alex Iwobi,Arsenal,21,26,3,5,0,0,1,0,0.15,0.25,0.15,3,3,3.5,0.15,0.17,0.15,85.7,16495,4520,50.9,89.8,76.3,37,60.4,20,17,24,7,9,0,"FW,MF",45,22,1.08
José Izquierdo,Brighton,24,32,5,3,0,0,2,0,0.23,0.14,0.23,4.4,4.4,2.1,0.2,0.09,0.2,77.9,5709,1571,54.8,83.6,50.9,19,59.5,30,22,18,14,16,0,"MF,FW",54,16,0.73
Phil Jagielka,Everton,34,25,0,0,0,0,2,0,0,0,0,0.5,0.5,0,0.02,0,0.02,73.7,18307,5676,39.1,83.4,64.5,1,50,32,21,46,39,108,0,DF,9,2,0.09
Eldin Jakupović,Leicester City,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1009,714,,100,51.4,0,,0,0,0,0,0,0,GK,0,0,0
Matty James,Leicester City,25,13,0,0,0,0,2,0,0,0,0,1,1,0.1,0.09,0.01,0.09,81.4,6001,1314,66.7,85.3,70.1,2,69.2,17,15,15,19,22,0,MF,11,1,0.09
Daryl Janmaat,Watford,27,23,3,0,0,0,3,0,0.15,0,0.15,1.4,1.4,1,0.07,0.05,0.07,70.8,13408,5925,48.3,81.1,51.7,12,59.3,49,25,39,34,46,0,DF,24,10,0.49
Vincent Janssen,Tottenham,23,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,0,,0,0,0,0,0,0,DF,0,0,0
Jesé,Stoke City,24,13,1,1,0,0,0,0,0.15,0.15,0.15,0.9,0.9,0.8,0.13,0.12,0.13,72.7,1898,461,46.2,80.4,58.3,9,75,8,4,6,0,1,0,"FW,MF",13,4,0.59
Gabriel Jesus,Manchester City,20,29,13,3,0,2,6,0,0.7,0.16,0.7,13.6,12.1,2.2,0.73,0.12,0.65,80.7,6322,820,53.8,84.3,76.3,16,73,19,12,27,10,2,0,FW,56,32,1.73
Glen Johnson,Stoke City,32,9,0,0,0,0,3,0,0,0,0,0.2,0.2,0.4,0.03,0.06,0.03,63.4,3199,1646,22.2,80.2,47.5,3,40,9,7,10,8,11,0,DF,3,1,0.16
Phil Jones,Manchester Utd,25,23,0,0,0,0,2,0,0,0,0,0.4,0.4,0,0.02,0,0.02,89.7,20901,5362,66.7,92.4,86.5,1,100,20,9,33,43,103,0,DF,3,0,0
Joselu,Newcastle Utd,27,30,4,1,0,1,2,0,0.21,0.05,0.21,6.5,5.7,0.5,0.34,0.02,0.3,63.6,5273,1268,43.9,65.5,60.3,14,52.6,20,12,31,12,25,0,FW,46,17,0.89
Mathias Jørgensen,Huddersfield,27,38,0,2,0,0,6,0,0,0.05,0,2,2,0.6,0.05,0.02,0.05,76.1,25369,9867,44.7,82.9,67.3,5,75,61,39,66,84,194,2,DF,14,3,0.08
Christian Kabasele,Watford,26,28,2,0,0,0,5,0,0.08,0,0.08,0.5,0.5,0.1,0.02,0,0.02,73.4,14970,6390,39.1,81.8,64.6,2,50,38,19,57,36,152,1,DF,6,3,0.12
Younès Kaboul,Watford,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.3,1419,651,0,73.8,63.2,0,,4,4,4,2,8,0,DF,0,0,0
Elias Kachunga,Huddersfield,25,19,1,1,0,0,1,0,0.07,0.07,0.07,1.8,1.8,0.6,0.12,0.04,0.12,63.7,3080,645,27.9,74.2,35.6,8,32,24,12,18,4,7,1,"FW,MF",11,5,0.34
Sullay Kaikai,Crystal Palace,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,52,5,,66.7,20,0,100,1,1,0,0,0,0,MF,0,0,0
Harry Kane,Tottenham,23,37,30,2,2,3,5,0,0.88,0.06,0.82,26.4,24.1,2.8,0.77,0.08,0.7,69.7,9193,2265,34,75.4,64.5,31,50,15,12,23,8,18,1,FW,181,71,2.08
N'Golo Kanté,Chelsea,26,34,1,1,0,0,3,0,0.03,0.03,0.03,0.8,0.8,2.4,0.02,0.07,0.02,88.6,34487,8100,58.1,92.3,79.8,36,77.8,110,76,50,91,22,2,MF,26,5,0.15
Loris Karius,Liverpool,24,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,71.9,10453,6713,0,100,53.6,0,,0,0,0,2,1,0,GK,0,0,0
Orestis Karnezis,Watford,31,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.5,6849,5477,50,100,40.8,0,,0,0,0,1,0,0,GK,0,0,0
Beram Kayal,Brighton,29,19,0,0,0,0,2,0,0,0,0,0.4,0.4,1.2,0.04,0.14,0.04,78.5,3246,859,66.7,82.3,68,10,28.6,24,18,19,15,8,0,MF,4,2,0.24
Michael Keane,Everton,24,30,0,1,0,0,3,0,0,0.04,0,1.2,1.2,0.5,0.04,0.02,0.04,75.4,21779,8320,18.4,81.6,71.3,5,71.4,33,18,64,60,142,1,DF,16,1,0.04
Martin Kelly,Crystal Palace,27,15,0,0,0,0,1,0,0,0,0,0.4,0.4,0,0.03,0,0.03,71.3,5870,2430,50,85.4,52.7,1,0,20,9,23,12,69,0,DF,5,2,0.15
Kenedy,Newcastle Utd,21,13,2,2,0,0,1,0,0.18,0.18,0.18,2.1,2.1,1.9,0.18,0.17,0.18,73.7,4933,1776,46.4,81.8,54.1,13,62.9,29,15,22,18,9,0,"MF,FW",23,5,0.44
Jonjoe Kenny,Everton,20,19,0,1,0,0,2,0,0,0.06,0,0.2,0.2,1,0.01,0.05,0.01,68,10957,5404,30,78.8,51,9,41.2,41,13,44,28,54,0,DF,3,1,0.06
Andy King,Leicester City,28,11,1,0,0,0,1,0,0.17,0,0.17,1,1,0.1,0.16,0.01,0.16,74.1,2854,723,72.7,79.6,57.7,2,0,7,5,5,6,8,0,MF,6,2,0.34
Andy King,Swansea City,28,11,2,1,0,0,1,0,0.25,0.13,0.25,1,1,0.1,0.12,0.01,0.12,81.7,5511,1355,54.5,89.6,66,3,66.7,18,11,6,5,9,0,MF,8,4,0.5
Joshua King,Bournemouth,25,33,8,3,2,2,3,0,0.29,0.11,0.22,7.9,6.4,4.7,0.29,0.17,0.23,71.4,7996,1939,33.9,76.2,65,38,50.4,30,18,26,6,17,0,"FW,MF",47,17,0.62
